,block_num,block_len,block_gas_price,fb_min_price,fb_min_buddleIndex,fb_lastBuddle_price,fb_lastBuddle_position,fb_lastBuddle_quantile,buddle_num,fbtx_num,nfb_max_price,nfb_max_txhash,nfb_max_blockIndex,exist_high_priority,high_priority_trx
1136,13400190,229,4.992813404,4.596098888,1,4.596098888,49,21.5859%,2,2,127.596098888,0xf8a99ec70ef71caa2d4f37524070f405ff02fb81a857ff857b2112523e8ece78,9,1,['0x2237eb71be5925f69c09fba9358744bb5df2a6d97e5ae300b467ef96b18db6fe']
1137,13400191,24,2.667157698,1.5,1,1.5,0,0%,2,23,1.440248892,0x66b358b874363e1cf24f593b78152621ec552dab5333bb5738f9b48980d42541,23,0,
1138,13400193,277,134.312606082,4.209376942,5,4.209376942,255,96.5909%,6,13,99.32546231,0x42aea2c5e550c477b2924b20c3de51284f93635e9638b41242f558abdec59238,20,1,['0x76b682015492553953814bf2d646f811d2cc0b201aa07a728f7d5b86dc6201f0']
1139,13400196,46,31.377965194,1.5,2,1.5,37,90.2439%,3,5,100.0,0x1566653e89439c0920da5a3c14328e82625f423dd2ee9cb42af7b505566e47ed,5,1,['0xd9d962d8ab40f9d1a4c31cc6ef3a61ba09496e88c57ebe3426743c5fd21513c0']
1140,13400197,72,398.264248691,398.26424869174207,0,398.26424869174207,0,0%,1,3,138.217203119,0xca9f4ed267ed82bff23c7be8a5ca86bf90b20e3f2b81febb68a5626a373f63c1,3,0,
1141,13400200,140,20.112273241,18.923976729,0,21.253734842710504,22,16.0584%,2,3,71.942195173,0xe2147cd098b1a24d4664e3efed2c1ff6f9aa66c53bca12d681bd6c842fd294c8,11,1,"['0x9b96c01c9acd9471f648ce7a3628fcfb467f94d3df16b4f0e2cbb51238e226d1', '0xdd91244e1795666bc64b4b4e9b7a23e4d903b0a7e6f7e1b1e4351f4355eaa209']"
1142,13400203,111,1217.055894649,1217.0558946496565,0,1217.0558946496565,0,0%,1,3,73.087171176,0xd4c921decd30d5cad0ae4201744850c2142fee155469dc5968093f4497458e32,16,0,
1143,13400212,136,245.32367065,245.32367065,0,245.32367065,0,0%,1,1,64.107400367,0xe0724ca47fb21a15e650b026719768e721b66b08ee5786899cff6e172457d596,1,0,
1144,13400216,43,25.0,25.0,0,25.0,8,19.0476%,1,1,139.403576111,0xd13fa1ffc5b3fbb7ee9f7af0c5edd01e42a834aa5e36cc063f0b0911e3b9300c,12,1,['0xca405a5e9acf550b5313e64b5295ebc108063c6c44e94bde1cf6612351a097cb']
1145,13400217,102,135.974204481,9.654059933,2,9.654059933,24,25.2632%,3,7,122.241394664,0x38a381bfd2b2292770b7e5e3548eabd6cc7f893c9a12f2eaa203bab110d9342e,7,1,['0x1bd4abc046b76b4796a6d185f5c3fd81437590bebe03c100241793672b13509d']
1146,13400220,65,32.179987676,25.0,2,25.0,22,35.4839%,3,3,77.209427396,0x90a5f0e816ce20b3cc6f99e3f34bc89805cfc9e12903adda2cf1d341dea54f13,5,1,['0x0727543289babe3c27d8c9ff9b40916580066c48c454b003b9e2c7b3e3ea18f4']
1147,13400221,54,2.5,2.5,0,2.5,29,54.7170%,1,1,71.713087795,0x81fbaa0526c6ef225ade3a69ffd34fed5cb08c76e0db17277449bf4a35678a6e,1,1,['0xa24e850f5722b58a32945392ef1b7ece97fd9f51e5483ee9a925d8e57ce33757']
1148,13400224,90,2.5,2.5,0,2.5,46,51.6854%,1,1,50.0,0xd4e100cca8be02c7be43be33596fe4b30facaf9073cc7c1496bbfc96072f2568,11,1,['0x329c4478b761cc4ac7c0971db7ca7a9aaf8101d90feed65facef71e2a46ebe9f']
1149,13400227,118,25.0,25.0,0,25.0,25,21.3675%,1,1,190.234880077,0xdecfd2bba4ae4e24e5d51d92b1dded937854ce3cabc3c64e48be9bf6151988bb,1,1,['0x3104dc60a328099f0671b0f576d05044559a90264974ba6fd2c5344f567b080d']
1150,13400230,86,25.826711413,25.826711413,0,25.826711413,16,18.8235%,1,1,103.118396806,0x05970bd8bccbd1dd0f4f0603ab0f21587b62c849c1dca8bf596b58aa9daa7f98,1,1,['0x3d2cc6da9c7c67e0f7aec68a4c64b8ea068150a3c91e3a8be098a4c8bb67d8d1']
1151,13400237,22,2.425,2.425,0,2.425,6,28.5714%,1,1,138.800362084,0xeda52623a056a00811ac78be9bbe43a4b44f06c77940a505961e054e7e933448,1,1,['0xbddef7112173bfb0295697222b0904e693f3ad7a0f339a089ae4feefd340b8b6']
1152,13400242,63,5803.623945181,5803.623945181522,0,5803.623945181522,0,0%,1,3,568.674816224,0xb6a6696760fa4d6be168c15dc9ecb6cda6da93d8ee5df365aafe3c6cadb07228,3,0,
1153,13400243,170,90.264520115,90.264520115,0,90.264520115,55,32.5444%,1,1,478.264520115,0xab220c05ea48243a9e9634c63820118aeadf5bb23f29fac2ce1214dc5c2188be,11,1,['0x6c07f858a5fb749e84c40ba6c2050bce99cf14e248d9fc46c3ce00156e7f269e']
